Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Pressure Gradient [Pa/m],Model Prediction Pressure Gradient [Pa/m]
Ottens et al. (2001),Water,0.0141,0.00098,998.0,Air,7.534,1.79e-05,1.196,0.052,1.0,0.0735,25.65,65.5034237117355
Ottens et al. (2001),Water,0.0151,0.00098,998.0,Air,9.501,1.79e-05,1.2,0.052,1.0,0.0735,29.96,85.9927429143533
Ottens et al. (2001),Water,0.0201,0.00098,998.0,Air,7.544,1.79e-05,1.196,0.052,1.0,0.0735,30.35,77.0605025820555
Ottens et al. (2001),Water,0.0313,0.00098,998.0,Air,7.471,1.79e-05,1.196,0.052,1.0,0.0735,33.49,94.9217133879977
Ottens et al. (2001),Water,0.0316,0.00098,998.0,Air,9.516,1.79e-05,1.2,0.052,1.0,0.0735,32.9,120.604063413567
Ottens et al. (2001),Water,0.0422,0.00098,998.0,Air,9.527,1.79e-05,1.2,0.052,1.0,0.0735,34.76,139.809324905036
Ottens et al. (2001),Water,0.0472,0.00098,998.0,Air,9.501,1.79e-05,1.199,0.052,1.0,0.0735,35.84,147.842469045417
Ottens et al. (2001),Water,0.0496,0.00098,998.0,Air,7.507,1.79e-05,1.195,0.052,1.0,0.0735,36.23,121.676195559305
Ottens et al. (2001),Water,0.0594,0.00098,998.0,Air,9.464,1.79e-05,1.2,0.052,1.0,0.0735,37.21,166.807097094998
Ottens et al. (2001),Water,0.0684,0.00098,998.0,Air,9.433,1.79e-05,1.2,0.052,1.0,0.0735,38.19,179.793382862383
Ottens et al. (2001),Water,0.0904,0.00098,998.0,Air,9.443,1.79e-05,1.2,0.052,1.0,0.0735,41.13,228.468750175189
Ottens et al. (2001),Water,0.1198,0.00098,998.0,Air,9.433,1.79e-05,1.2,0.052,1.0,0.0735,45.04,285.278075124712
Ottens et al. (2001),Water,0.1456,0.00098,998.0,Air,9.48,1.79e-05,1.199,0.052,1.0,0.0735,47.98,336.775603616511
Ottens et al. (2001),Water,0.0497,0.00098,998.0,Air,9.527,1.79e-05,1.198,0.052,1.0,0.0735,35.84,152.312430872154
Ottens et al. (2001),Water,0.0577,0.00098,998.0,Air,9.521,1.79e-05,1.198,0.052,1.0,0.0735,37.21,165.010896964706
Ottens et al. (2001),Water,0.0687,0.00098,998.0,Air,9.542,1.79e-05,1.197,0.052,1.0,0.0735,38.58,182.024244766613
Ottens et al. (2001),Water,0.0879,0.00098,998.0,Air,9.501,1.79e-05,1.201,0.052,1.0,0.0735,41.32,224.90935705179
Ottens et al. (2001),Water,0.117,0.00098,998.0,Air,9.469,1.79e-05,1.202,0.052,1.0,0.0735,44.85,280.919203741563
Ottens et al. (2001),Water,0.1477,0.00098,998.0,Air,9.49,1.79e-05,1.202,0.052,1.0,0.0735,47.59,341.453741978771
Ottens et al. (2001),Water,0.0581,0.00098,998.0,Air,10.45,1.79e-05,1.195,0.052,1.0,0.0735,43.28,180.926726545737
Ottens et al. (2001),Water,0.0869,0.00098,998.0,Air,10.47,1.79e-05,1.196,0.052,1.0,0.0735,47.2,243.082475834716
Ottens et al. (2001),Water,0.1188,0.00098,998.0,Air,10.5,1.79e-05,1.202,0.052,1.0,0.0735,52.29,311.228120915799
Ottens et al. (2001),Water,0.0488,0.00098,998.0,Air,10.49,1.79e-05,1.203,0.052,1.0,0.0735,41.52,165.886439506042
Ottens et al. (2001),Water,0.0681,0.00098,998.0,Air,10.55,1.79e-05,1.201,0.052,1.0,0.0735,44.93,199.545771102619
Ottens et al. (2001),Water,0.1423,0.00098,998.0,Air,10.51,1.79e-05,1.204,0.052,1.0,0.0735,56.21,361.210161423332
Ottens et al. (2001),Water,0.0485,0.00098,998.0,Air,14.5,1.79e-05,1.207,0.052,1.0,0.0735,74.5,229.892660276786
Ottens et al. (2001),Water,0.0581,0.00098,998.0,Air,14.48,1.79e-05,1.206,0.052,1.0,0.0735,77.56,251.484261568367
Ottens et al. (2001),Water,0.0687,0.00098,998.0,Air,14.43,1.79e-05,1.202,0.052,1.0,0.0735,80.3,273.246774182965
Ottens et al. (2001),Water,0.0891,0.00098,998.0,Air,14.45,1.79e-05,1.202,0.052,1.0,0.0735,85.59,335.712197322751
Ottens et al. (2001),Water,0.1192,0.00098,998.0,Air,14.53,1.79e-05,1.202,0.052,1.0,0.0735,93.23,418.654463764569
Ottens et al. (2001),Water,0.1475,0.00098,998.0,Air,14.39,1.79e-05,1.205,0.052,1.0,0.0735,97.93,491.020892560896
Ottens et al. (2001),Water,0.0495,0.00098,998.0,Air,12.99,1.79e-05,1.197,0.052,2.0,0.0735,62.67,208.918946633329
Ottens et al. (2001),Water,0.059,0.00098,998.0,Air,12.94,1.79e-05,1.198,0.052,2.0,0.0735,65.42,228.031226144436
Ottens et al. (2001),Water,0.0692,0.00098,998.0,Air,12.93,1.79e-05,1.197,0.052,2.0,0.0735,67.96,248.02019656939
Ottens et al. (2001),Water,0.0868,0.00098,998.0,Air,12.94,1.79e-05,1.199,0.052,2.0,0.0735,72.66,299.874736180568
Ottens et al. (2001),Water,0.1201,0.00098,998.0,Air,12.91,1.79e-05,1.198,0.052,2.0,0.0735,78.73,382.218076392168
Ottens et al. (2001),Water,0.1474,0.00098,998.0,Air,12.89,1.79e-05,1.2,0.052,2.0,0.0735,83.04,449.920704440877
Ottens et al. (2001),Water,0.0508,0.00098,998.0,Air,10.49,1.79e-05,1.197,0.052,2.0,0.0735,45.44,172.130035736088
Ottens et al. (2001),Water,0.0584,0.00098,998.0,Air,10.44,1.79e-05,1.198,0.052,2.0,0.0735,48.18,184.669410641197
Ottens et al. (2001),Water,0.0686,0.00098,998.0,Air,10.47,1.79e-05,1.199,0.052,2.0,0.0735,49.75,202.222245005242
Ottens et al. (2001),Water,0.0878,0.00098,998.0,Air,10.48,1.79e-05,1.198,0.052,2.0,0.0735,53.55,250.076615298609
Ottens et al. (2001),Water,0.12,0.00098,998.0,Air,10.42,1.79e-05,1.196,0.052,2.0,0.0735,58.95,317.305840599894
Ottens et al. (2001),Water,0.1462,0.00098,998.0,Air,10.44,1.79e-05,1.198,0.052,2.0,0.0735,62.67,373.936540350688
Ottens et al. (2001),Water,0.0496,0.00098,998.0,Air,8.996,1.79e-05,1.197,0.052,2.0,0.0735,45.83,147.664297967666
Ottens et al. (2001),Water,0.058,0.00098,998.0,Air,8.965,1.79e-05,1.198,0.052,2.0,0.0735,47.98,160.244533603589
Ottens et al. (2001),Water,0.0674,0.00098,998.0,Air,8.975,1.79e-05,1.195,0.052,2.0,0.0735,49.55,174.085750922795
Ottens et al. (2001),Water,0.0858,0.00098,998.0,Air,8.975,1.79e-05,1.197,0.052,2.0,0.0735,52.88,215.219866026837
Ottens et al. (2001),Water,0.0394,0.00098,998.0,Air,14.45,1.79e-05,1.205,0.052,2.0,0.0735,73.84,208.77469553129
Ottens et al. (2001),Water,0.0452,0.00098,998.0,Air,14.46,1.79e-05,1.205,0.052,2.0,0.0735,75.6,223.234054054225
Ottens et al. (2001),Water,0.0536,0.00098,998.0,Air,14.47,1.79e-05,1.205,0.052,2.0,0.0735,78.73,243.224440358381
Ottens et al. (2001),Water,0.0708,0.00098,998.0,Air,14.42,1.79e-05,1.205,0.052,2.0,0.0735,84.61,280.242939688311
Ottens et al. (2001),Water,0.0968,0.00098,998.0,Air,14.4,1.79e-05,1.207,0.052,2.0,0.0735,93.23,359.482740462434
Ottens et al. (2001),Water,0.1245,0.00098,998.0,Air,14.39,1.79e-05,1.208,0.052,2.0,0.0735,101.4,434.435604612046
Ottens et al. (2001),Water-Glycerol,0.0389,0.002,1087.0,Air,5.03,1.8e-05,1.18,0.052,0.0,0.061,9.95,12.9956234492279
Ottens et al. (2001),Water-Glycerol,0.0441,0.002,1087.0,Air,5.035,1.8e-05,1.18,0.052,0.0,0.061,10.1,13.7377105368523
Ottens et al. (2001),Water-Glycerol,0.0515,0.002,1087.0,Air,5.03,1.8e-05,1.18,0.052,0.0,0.061,10.18,14.7608956984776
Ottens et al. (2001),Water-Glycerol,0.0686,0.002,1087.0,Air,5.025,1.8e-05,1.18,0.052,0.0,0.061,10.42,17.2075086706439
Ottens et al. (2001),Water-Glycerol,0.0983,0.002,1087.0,Air,5.019,1.8e-05,1.18,0.052,0.0,0.061,11.12,21.6856480645462
Ottens et al. (2001),Water-Glycerol,0.1255,0.002,1087.0,Air,5.035,1.8e-05,1.18,0.052,0.0,0.061,11.75,26.1569614433342
Ottens et al. (2001),Water-Glycerol,0.0389,0.002,1087.0,Air,7.018,1.8e-05,1.18,0.052,0.0,0.061,17.07,20.9078217065367
Ottens et al. (2001),Water-Glycerol,0.0445,0.002,1087.0,Air,7.013,1.8e-05,1.18,0.052,0.0,0.061,17.7,21.8864819258271
Ottens et al. (2001),Water-Glycerol,0.0514,0.002,1087.0,Air,7.018,1.8e-05,1.18,0.052,0.0,0.061,18.17,23.1487744769222
Ottens et al. (2001),Water-Glycerol,0.0694,0.002,1087.0,Air,7.023,1.8e-05,1.18,0.052,0.0,0.061,19.35,26.4542078780657
Ottens et al. (2001),Water-Glycerol,0.0972,0.002,1087.0,Air,7.007,1.8e-05,1.18,0.052,0.0,0.061,20.99,31.6020592636808
Ottens et al. (2001),Water-Glycerol,0.1244,0.002,1087.0,Air,7.028,1.8e-05,1.18,0.052,0.0,0.061,22.4,37.0636908078519
Ottens et al. (2001),Water-Glycerol,0.1152,0.002,1087.0,Air,9.984,1.8e-05,1.18,0.052,0.0,0.061,47.39,336.075309357789
