Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Pressure Gradient [Pa/m],Model Prediction Pressure Gradient [Pa/m]
Perez (2008),Water,0.2,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,45.0,0.072,2678.21782178217,4580.0899304913
Perez (2008),Water,0.2,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,45.0,0.072,2648.51485148514,5407.81837349101
Perez (2008),Water,0.2,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,45.0,0.072,2460.39603960396,7297.66713199754
Perez (2008),Water,0.2,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,45.0,0.072,2321.78217821782,9865.65208966146
Perez (2008),Water,0.2,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,45.0,0.072,2544.55445544554,15095.384582898
Perez (2008),Water,0.04,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,60.0,0.072,7281.67281672816,6298.21894627909
Perez (2008),Water,0.04,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,60.0,0.072,3709.71709717097,3565.26077982247
Perez (2008),Water,0.04,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,60.0,0.072,2843.78843788437,3238.47288753766
Perez (2008),Water,0.04,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,60.0,0.072,2056.58056580565,3411.84934545662
Perez (2008),Water,0.04,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,60.0,0.072,2902.82902829028,3852.06531809723
Perez (2008),Water,0.04,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,60.0,0.072,2450.18450184501,4574.6940612546
Perez (2008),Water,0.04,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,60.0,0.072,2253.38253382533,5414.8025485018
Perez (2008),Water,0.04,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,60.0,0.072,1800.73800738007,7329.23005487381
Perez (2008),Water,0.04,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,60.0,0.072,1712.17712177121,9831.48537080204
Perez (2008),Water,0.04,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,60.0,0.072,1308.73308733087,15024.9705755601
Perez (2008),Water,0.05,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,60.0,0.072,6799.50799507995,6343.9214189063
Perez (2008),Water,0.05,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,60.0,0.072,3916.35916359163,3611.64491400133
Perez (2008),Water,0.05,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,60.0,0.072,3079.95079950799,3275.96182502421
Perez (2008),Water,0.05,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,60.0,0.072,2558.42558425584,3443.32499432665
Perez (2008),Water,0.05,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,60.0,0.072,2696.18696186961,3879.92520032602
Perez (2008),Water,0.05,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,60.0,0.072,2706.0270602706,4599.64163667309
Perez (2008),Water,0.05,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,60.0,0.072,2400.98400984009,5437.6539754008
Perez (2008),Water,0.05,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,60.0,0.072,2017.22017220172,7348.98018432897
Perez (2008),Water,0.05,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,60.0,0.072,1781.0578105781,9854.40034250092
Perez (2008),Water,0.05,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,60.0,0.072,1574.41574415744,15050.0523892141
Perez (2008),Water,0.08,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,60.0,0.072,6750.30750307503,6471.0995549909
Perez (2008),Water,0.08,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,60.0,0.072,4014.76014760147,3746.98475578685
Perez (2008),Water,0.08,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,60.0,0.072,3158.67158671586,3386.60606335119
Perez (2008),Water,0.08,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,60.0,0.072,2676.50676506765,3536.79127964543
Perez (2008),Water,0.08,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,60.0,0.072,2833.94833948339,3962.91096336848
Perez (2008),Water,0.08,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,60.0,0.072,2745.38745387453,4674.10516442128
Perez (2008),Water,0.08,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,60.0,0.072,2499.38499384993,5505.94090899331
Perez (2008),Water,0.08,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,60.0,0.072,2214.0221402214,7408.07702744962
Perez (2008),Water,0.08,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,60.0,0.072,1899.13899138991,9923.14263196872
Perez (2008),Water,0.08,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,60.0,0.072,1643.29643296432,15125.3310957262
Perez (2008),Water,0.1,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,60.0,0.072,6799.50799507995,6548.55580645422
Perez (2008),Water,0.1,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,60.0,0.072,3857.31857318573,3834.19068338923
Perez (2008),Water,0.1,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,60.0,0.072,3099.63099630996,3458.90057973693
Perez (2008),Water,0.1,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,60.0,0.072,2755.22755227552,3598.32079686598
Perez (2008),Water,0.1,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,60.0,0.072,2804.42804428044,4017.74925512769
Perez (2008),Water,0.1,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,60.0,0.072,2735.54735547355,4723.43651703631
Perez (2008),Water,0.1,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,60.0,0.072,2460.024600246,5551.24621145044
Perez (2008),Water,0.1,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,60.0,0.072,2184.50184501845,7447.34784513909
Perez (2008),Water,0.1,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,60.0,0.072,1997.53997539975,9968.96887719574
Perez (2008),Water,0.1,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,60.0,0.072,1810.57810578105,15175.5444274373
Perez (2008),Water,0.15,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,60.0,0.072,7045.51045510455,6721.0271976463
Perez (2008),Water,0.15,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,60.0,0.072,3965.55965559655,4042.46940814308
Perez (2008),Water,0.15,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,60.0,0.072,3306.27306273062,3634.77515684637
Perez (2008),Water,0.15,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,60.0,0.072,2902.82902829028,3749.51629959287
Perez (2008),Water,0.15,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,60.0,0.072,2883.14883148831,4153.19638599757
Perez (2008),Water,0.15,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,60.0,0.072,2725.70725707257,4845.70116733363
Perez (2008),Water,0.15,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,60.0,0.072,2686.34686346863,5663.75560310576
Perez (2008),Water,0.15,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,60.0,0.072,2558.42558425584,7545.08534964938
Perez (2008),Water,0.15,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,60.0,0.072,2292.74292742927,10083.5294560877
Perez (2008),Water,0.15,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,60.0,0.072,2105.78105781057,15301.1737664952
Perez (2008),Water,0.2,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,60.0,0.072,7094.71094710947,6869.13461802124
Perez (2008),Water,0.2,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,60.0,0.072,4142.68142681426,4238.11450108564
Perez (2008),Water,0.2,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,60.0,0.072,3444.0344403444,3804.14375786102
Perez (2008),Water,0.2,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,60.0,0.072,3168.51168511685,3897.12931073555
Perez (2008),Water,0.2,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,60.0,0.072,3070.11070110701,4286.37167677198
Perez (2008),Water,0.2,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,60.0,0.072,2971.70971709717,4966.48722320104
Perez (2008),Water,0.2,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,60.0,0.072,2873.30873308733,5775.21104466778
Perez (2008),Water,0.2,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,60.0,0.072,2607.62607626076,7642.20394577355
Perez (2008),Water,0.2,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,60.0,0.072,2528.90528905289,10198.0862950969
Perez (2008),Water,0.2,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,60.0,0.072,2479.70479704797,15426.9405720934
Perez (2008),Water,0.73,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,60.0,0.072,7586.71586715867,7780.44573584973
Perez (2008),Water,0.73,0.001,1000.0,Air,0.29,1.8e-05,1.224,0.038,60.0,0.072,6937.26937269372,7184.10259990368
Perez (2008),Water,0.73,0.001,1000.0,Air,0.44,1.8e-05,1.224,0.038,60.0,0.072,6366.54366543665,6692.66233655819
Perez (2008),Water,0.73,0.001,1000.0,Air,0.59,1.8e-05,1.224,0.038,60.0,0.072,6012.30012300123,6313.58281267348
Perez (2008),Water,0.73,0.001,1000.0,Air,0.73,1.8e-05,1.224,0.038,60.0,0.072,5726.93726937269,6036.8088972223
Perez (2008),Water,0.73,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,60.0,0.072,5471.09471094711,5804.70165336404
Perez (2008),Water,0.73,0.001,1000.0,Air,1.17,1.8e-05,1.224,0.038,60.0,0.072,4969.24969249692,5497.87280793655
Perez (2008),Water,0.73,0.001,1000.0,Air,1.47,1.8e-05,1.224,0.038,60.0,0.072,4762.60762607626,5322.67990722871
Perez (2008),Water,0.73,0.001,1000.0,Air,2.2,1.8e-05,1.224,0.038,60.0,0.072,4408.36408364083,5269.50602254652
Perez (2008),Water,0.73,0.001,1000.0,Air,2.93,1.8e-05,1.224,0.038,60.0,0.072,4231.24231242312,5525.17809664021
Perez (2008),Water,0.04,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,85.0,0.072,3108.69565217391,3629.94180802818
Perez (2008),Water,0.04,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,85.0,0.072,2282.60869565217,3346.29213587201
Perez (2008),Water,0.04,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,85.0,0.072,2666.66666666666,3558.97683633168
Perez (2008),Water,0.04,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,85.0,0.072,2717.39130434782,4024.68888304746
Perez (2008),Water,0.04,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,85.0,0.072,2449.27536231884,4767.25055499375
Perez (2008),Water,0.04,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,85.0,0.072,2188.40579710144,5619.97211849755
Perez (2008),Water,0.04,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,85.0,0.072,1731.88405797101,7548.74283289097
Perez (2008),Water,0.04,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,85.0,0.072,1362.31884057971,10058.621543307
Perez (2008),Water,0.04,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,85.0,0.072,1028.98550724637,15255.5921319687
Perez (2008),Water,0.05,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,85.0,0.072,3384.05797101449,3690.91809326045
Perez (2008),Water,0.05,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,85.0,0.072,2594.20289855072,3392.34494378048
Perez (2008),Water,0.05,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,85.0,0.072,2855.07246376811,3596.02234593939
Perez (2008),Water,0.05,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,85.0,0.072,2775.36231884058,4056.61755501532
Perez (2008),Water,0.05,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,85.0,0.072,2528.98550724637,4795.23046665973
Perez (2008),Water,0.05,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,85.0,0.072,2246.3768115942,5645.22104384034
Perez (2008),Water,0.05,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,85.0,0.072,1862.31884057971,7570.14634321559
Perez (2008),Water,0.05,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,85.0,0.072,1485.50724637681,10082.7075461112
Perez (2008),Water,0.05,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,85.0,0.072,1188.40579710145,15281.5688486934
Perez (2008),Water,0.06,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,85.0,0.072,3434.78260869565,3750.9400792893
Perez (2008),Water,0.06,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,85.0,0.072,2746.3768115942,3437.97780536812
Perez (2008),Water,0.06,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,85.0,0.072,2978.26086956521,3632.85614873995
Perez (2008),Water,0.06,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,85.0,0.072,2840.57971014492,4088.41871155851
Perez (2008),Water,0.06,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,85.0,0.072,2579.71014492753,4823.13077602591
Perez (2008),Water,0.06,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,85.0,0.072,2311.59420289855,5670.41481710172
Perez (2008),Water,0.06,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,85.0,0.072,1920.28985507246,7591.51909341015
Perez (2008),Water,0.06,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,85.0,0.072,1565.21739130434,10106.7904152994
Perez (2008),Water,0.06,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,85.0,0.072,1260.86956521739,15307.5494117702
Perez (2008),Water,0.08,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,85.0,0.072,3463.76811594202,3868.22263817037
Perez (2008),Water,0.08,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,85.0,0.072,2920.28985507246,3528.01290844079
Perez (2008),Water,0.08,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,85.0,0.072,3007.24637681159,3705.89916847506
Perez (2008),Water,0.08,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,85.0,0.072,2920.28985507246,4151.64356817286
Perez (2008),Water,0.08,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,85.0,0.072,2630.43478260869,4878.69545977249
Perez (2008),Water,0.08,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,85.0,0.072,2456.52173913043,5720.6391661148
Perez (2008),Water,0.08,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,85.0,0.072,2014.49275362318,7634.17275605609
Perez (2008),Water,0.08,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,85.0,0.072,1688.40579710144,10154.9468835337
Perez (2008),Water,0.08,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,85.0,0.072,1456.52173913043,15359.5220162824
Perez (2008),Water,0.1,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,85.0,0.072,3507.24637681159,3981.98378260579
Perez (2008),Water,0.1,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,85.0,0.072,2905.79710144927,3616.45414588563
Perez (2008),Water,0.1,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,85.0,0.072,3057.97101449275,3778.12626682779
Perez (2008),Water,0.1,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,85.0,0.072,2971.01449275362,4214.37292990438
Perez (2008),Water,0.1,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,85.0,0.072,2710.14492753623,4933.94926071207
Perez (2008),Water,0.1,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,85.0,0.072,2942.02898550724,5770.64793680668
Perez (2008),Water,0.1,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,85.0,0.072,2108.69565217391,7676.70471610752
Perez (2008),Water,0.1,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,85.0,0.072,1782.60869565217,10203.0912407449
Perez (2008),Water,0.1,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,85.0,0.072,1695.65217391304,15411.5098887791
Perez (2008),Water,0.13,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,85.0,0.072,3630.43478260869,4146.41610334814
Perez (2008),Water,0.13,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,85.0,0.072,3079.71014492753,3746.24537925563
Perez (2008),Water,0.13,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,85.0,0.072,3130.43478260869,3884.97993202599
Perez (2008),Water,0.13,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,85.0,0.072,3108.69565217391,4307.55784727862
Perez (2008),Water,0.13,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,85.0,0.072,2855.07246376811,5016.25658394124
Perez (2008),Water,0.13,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,85.0,0.072,2594.20289855072,5845.26211329331
Perez (2008),Water,0.13,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,85.0,0.072,2224.63768115942,7740.27643775488
Perez (2008),Water,0.13,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,85.0,0.072,1963.76811594202,10275.2857837034
Perez (2008),Water,0.13,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,85.0,0.072,1826.08695652173,15489.5203611825
Perez (2008),Water,0.2,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,85.0,0.072,4115.9420289855,4503.91459640258
Perez (2008),Water,0.2,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,85.0,0.072,3420.28985507246,4036.56869147596
Perez (2008),Water,0.2,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,85.0,0.072,3362.31884057971,4127.69052501326
Perez (2008),Water,0.2,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,85.0,0.072,3239.1304347826,4520.89948841302
Perez (2008),Water,0.2,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,85.0,0.072,2985.50724637681,5205.70499030457
Perez (2008),Water,0.2,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,85.0,0.072,2797.10144927536,6017.5407626527
Perez (2008),Water,0.2,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,85.0,0.072,2601.44927536231,7887.57049431356
Perez (2008),Water,0.2,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,85.0,0.072,2326.08695652173,10443.6432033542
Perez (2008),Water,0.2,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,85.0,0.072,2456.52173913043,15671.6797980024
Perez (2008),Water,0.04,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,90.0,0.072,5398.53300733496,6501.06964082321
Perez (2008),Water,0.04,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,90.0,0.072,2865.52567237163,3516.24413903677
Perez (2008),Water,0.04,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,90.0,0.072,2709.04645476772,3273.89495576288
Perez (2008),Water,0.04,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,90.0,0.072,2738.38630806846,3512.29623960596
Perez (2008),Water,0.04,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,90.0,0.072,2415.64792176039,3992.75545285708
Perez (2008),Water,0.04,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,90.0,0.072,2161.36919315403,4746.30594703759
Perez (2008),Water,0.04,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,90.0,0.072,1975.55012224938,5605.96879809476
Perez (2008),Water,0.04,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,90.0,0.072,1623.47188264058,7542.7261649896
Perez (2008),Water,0.04,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,90.0,0.072,1183.37408312958,10056.7929680917
Perez (2008),Water,0.04,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,90.0,0.072,968.215158924206,15254.8965700589
Perez (2008),Water,0.05,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,90.0,0.072,5652.81173594132,6590.65560480178
Perez (2008),Water,0.05,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,90.0,0.072,3061.12469437652,3579.89819846982
Perez (2008),Water,0.05,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,90.0,0.072,2797.06601466992,3321.1940250806
Perez (2008),Water,0.05,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,90.0,0.072,2757.94621026894,3550.01028608135
Perez (2008),Water,0.05,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,90.0,0.072,2464.54767726161,4025.10562196624
Perez (2008),Water,0.05,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,90.0,0.072,2220.0488997555,4774.5575796867
Perez (2008),Water,0.05,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,90.0,0.072,2083.12958435207,5631.40802229195
Perez (2008),Water,0.05,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,90.0,0.072,1721.27139364303,7564.23653756877
Perez (2008),Water,0.05,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,90.0,0.072,1310.51344743276,10080.9360908573
Perez (2008),Water,0.05,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,90.0,0.072,1046.45476772616,15280.912240294
Perez (2008),Water,0.06,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,90.0,0.072,5779.95110024449,6675.7583874937
Perez (2008),Water,0.06,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,90.0,0.072,3149.14425427872,3642.52983015695
Perez (2008),Water,0.06,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,90.0,0.072,2875.30562347188,3368.05314235534
Perez (2008),Water,0.06,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,90.0,0.072,2816.62591687041,3587.50517630435
Perez (2008),Water,0.06,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,90.0,0.072,2562.34718826405,4057.32467124404
Perez (2008),Water,0.06,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,90.0,0.072,2298.28850855745,4802.72779419824
Perez (2008),Water,0.06,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,90.0,0.072,2190.70904645476,5656.7910492112
Perez (2008),Water,0.06,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,90.0,0.072,1740.83129584352,7585.71571515537
Perez (2008),Water,0.06,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,90.0,0.072,1359.41320293398,10105.0759104117
Perez (2008),Water,0.06,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,90.0,0.072,1134.47432762836,15306.9316648252
Perez (2008),Water,0.08,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,90.0,0.072,6278.72860635696,6833.8461360776
Perez (2008),Water,0.08,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,90.0,0.072,3295.84352078239,3764.83654461681
Perez (2008),Water,0.08,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,90.0,0.072,2943.76528117359,3460.48246957601
Perez (2008),Water,0.08,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,90.0,0.072,2836.1858190709,3661.84846797922
Perez (2008),Water,0.08,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,90.0,0.072,2669.92665036674,4121.37466124127
Perez (2008),Water,0.08,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,90.0,0.072,2425.42787286063,4858.82689788026
Perez (2008),Water,0.08,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,90.0,0.072,2278.72860635696,5707.39078868313
Perez (2008),Water,0.08,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,90.0,0.072,1838.63080684596,7628.58093733555
Perez (2008),Water,0.08,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,90.0,0.072,1515.89242053789,10153.3457738661
Perez (2008),Water,0.08,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,90.0,0.072,1349.63325183374,15358.9817182802
Perez (2008),Water,0.1,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,90.0,0.072,6024.44987775061,6977.68504467351
Perez (2008),Water,0.1,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,90.0,0.072,3393.64303178484,3883.37610894512
Perez (2008),Water,0.1,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,90.0,0.072,2894.86552567237,3551.24298270236
Perez (2008),Water,0.1,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,90.0,0.072,2875.30562347188,3735.34735958137
Perez (2008),Water,0.1,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,90.0,0.072,2650.36674816625,4184.91522334987
Perez (2008),Water,0.1,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,90.0,0.072,2493.88753056234,4914.60803750275
Perez (2008),Water,0.1,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,90.0,0.072,2268.94865525672,5757.77084400915
Perez (2008),Water,0.1,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,90.0,0.072,1897.31051344743,7671.32274520715
Perez (2008),Water,0.1,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,90.0,0.072,1584.3520782396,10201.6028574057
Perez (2008),Water,0.1,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,90.0,0.072,1603.91198044009,15411.0466776073
Perez (2008),Water,0.13,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,90.0,0.072,6415.64792176039,7170.86049433697
Perez (2008),Water,0.13,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,90.0,0.072,3638.14180929095,4054.5501243666
Perez (2008),Water,0.13,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,90.0,0.072,3129.58435207824,3684.37948036748
Perez (2008),Water,0.13,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,90.0,0.072,2992.66503667481,3844.05714938776
Perez (2008),Water,0.13,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,90.0,0.072,2757.94621026894,4279.29150460206
Perez (2008),Water,0.13,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,90.0,0.072,2611.24694376528,4997.69336302289
Perez (2008),Water,0.13,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,90.0,0.072,2484.1075794621,5832.93437767892
Perez (2008),Water,0.13,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,90.0,0.072,2063.56968215158,7735.20606834089
Perez (2008),Water,0.13,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,90.0,0.072,1760.39119804401,10273.965248359
Perez (2008),Water,0.13,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,90.0,0.072,1701.71149144254,15489.1721085454
Perez (2008),Water,0.2,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,90.0,0.072,7100.2444987775,7540.51007969266
