Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Liquid Volumetric Fraction [-],Model Holdup Prediction [-]
Perez (2008),Water,0.05,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,90.0,0.072,0.666647003578164,0.669795142060322
Perez (2008),Water,0.05,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,90.0,0.072,0.489017906346779,0.339312897138843
Perez (2008),Water,0.05,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,90.0,0.072,0.45995172194323,0.276753598635851
Perez (2008),Water,0.05,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,90.0,0.072,0.426031341928172,0.243922391775657
Perez (2008),Water,0.05,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,90.0,0.072,0.386076980991485,0.226317557884149
Perez (2008),Water,0.05,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,90.0,0.072,0.347319481204933,0.213383916629125
Perez (2008),Water,0.05,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,90.0,0.072,0.327888727617066,0.205008085138443
Perez (2008),Water,0.05,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,90.0,0.072,0.252762793296956,0.194473885007468
Perez (2008),Water,0.05,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,90.0,0.072,0.210202038234358,0.187368497423701
Perez (2008),Water,0.05,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,90.0,0.072,0.16395290172854,0.182435593098626
Perez (2008),Water,0.06,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,90.0,0.072,0.694426290584226,0.678331852558255
Perez (2008),Water,0.06,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,90.0,0.072,0.499889007039903,0.345237384718101
Perez (2008),Water,0.06,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,90.0,0.072,0.464779527620171,0.280877628372536
Perez (2008),Water,0.06,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,90.0,0.072,0.423620543787886,0.246931591848485
Perez (2008),Water,0.06,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,90.0,0.072,0.378838377174258,0.228682089921424
Perez (2008),Water,0.06,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,90.0,0.072,0.35819989599261,0.215255827992181
Perez (2008),Water,0.06,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,90.0,0.072,0.341178388195937,0.206553831917362
Perez (2008),Water,0.06,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,90.0,0.072,0.279325038614683,0.195604240305658
Perez (2008),Water,0.06,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,90.0,0.072,0.215026739213114,0.188217812619491
Perez (2008),Water,0.06,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,90.0,0.072,0.168788469150942,0.183086619737681
Perez (2008),Water,0.08,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,90.0,0.072,0.664228443692417,0.694151497281388
Perez (2008),Water,0.08,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,90.0,0.072,0.46244789928359,0.356774102846362
Perez (2008),Water,0.08,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,90.0,0.072,0.417685913208162,0.288986516313981
Perez (2008),Water,0.08,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,90.0,0.072,0.381353182703726,0.252878824127356
Perez (2008),Water,0.08,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,90.0,0.072,0.351057537819104,0.233368106391489
Perez (2008),Water,0.08,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,90.0,0.072,0.320757235887206,0.218973061203213
Perez (2008),Water,0.08,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,90.0,0.072,0.301290778270217,0.209627360397478
Perez (2008),Water,0.08,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,90.0,0.072,0.241894797302017,0.197855452806516
Perez (2008),Water,0.08,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,90.0,0.072,0.194478294278817,0.189911128191399
Perez (2008),Water,0.08,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,90.0,0.072,0.161542103588254,0.184385567486094
Perez (2008),Water,0.1,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,90.0,0.072,0.63645226138454,0.708494600714923
Perez (2008),Water,0.1,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,90.0,0.072,0.451575246241374,0.367912449001912
Perez (2008),Water,0.1,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,90.0,0.072,0.422507509488733,0.296915000767425
Perez (2008),Water,0.1,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,90.0,0.072,0.386180988380666,0.258733020197074
Perez (2008),Water,0.1,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,90.0,0.072,0.355880686448768,0.237997590850633
Perez (2008),Water,0.1,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,90.0,0.072,0.329197357901844,0.222655259023604
Perez (2008),Water,0.1,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,90.0,0.072,0.306132555088988,0.212677166342858
Perez (2008),Water,0.1,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,90.0,0.072,0.251533332815883,0.200094089562014
Perez (2008),Water,0.1,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,90.0,0.072,0.206550913169353,0.19159739421451
Perez (2008),Water,0.1,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,90.0,0.072,0.172403890186825,0.185680390962127
Perez (2008),Water,0.13,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,90.0,0.072,0.692010835396663,0.727663596024532
Perez (2008),Water,0.13,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,90.0,0.072,0.470897335392783,0.383917017870448
Perez (2008),Water,0.13,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,90.0,0.072,0.440623423395453,0.308482419606241
Perez (2008),Water,0.13,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,90.0,0.072,0.404292245240109,0.267344588462397
Perez (2008),Water,0.13,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,90.0,0.072,0.380035238324394,0.244838035874734
Perez (2008),Water,0.13,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,90.0,0.072,0.348522551751437,0.228113939318927
Perez (2008),Water,0.13,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,90.0,0.072,0.333910289745958,0.217207992335229
Perez (2008),Water,0.13,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,90.0,0.072,0.269646142024418,0.203428694596778
Perez (2008),Water,0.13,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,90.0,0.072,0.225862135877115,0.194113671344945
Perez (2008),Water,0.13,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,90.0,0.072,0.197772379052601,0.187614936031105
Perez (2008),Water,0.2,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,90.0,0.072,0.777764151602412,0.763931098024591
Perez (2008),Water,0.2,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,90.0,0.072,0.503509085123062,0.418293389517154
Perez (2008),Water,0.2,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,90.0,0.072,0.476856803557984,0.334050910295992
Perez (2008),Water,0.2,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,90.0,0.072,0.440522520704455,0.286681943048003
Perez (2008),Water,0.2,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,90.0,0.072,0.406605245387582,0.26033176075471
Perez (2008),Water,0.2,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,90.0,0.072,0.370260096090408,0.240557639188696
Perez (2008),Water,0.2,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,90.0,0.072,0.350816923709803,0.227579780889208
Perez (2008),Water,0.2,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,90.0,0.072,0.292588309258986,0.211102272587619
Perez (2008),Water,0.2,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,90.0,0.072,0.256049116325279,0.199924506018999
Perez (2008),Water,0.2,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,90.0,0.072,0.217072735316717,0.192093326326034
Perez (2008),Water,0.73,0.001,1000.0,Air,0.29,1.8e-05,1.224,0.038,90.0,0.072,0.871957589822799,0.799452921583219
Perez (2008),Water,0.73,0.001,1000.0,Air,0.44,1.8e-05,1.224,0.038,90.0,0.072,0.789811932907472,0.729238874224822
Perez (2008),Water,0.73,0.001,1000.0,Air,0.59,1.8e-05,1.224,0.038,90.0,0.072,0.731816170820494,0.673087973001232
Perez (2008),Water,0.73,0.001,1000.0,Air,0.73,1.8e-05,1.224,0.038,90.0,0.072,0.696774994760821,0.629959376727255
Perez (2008),Water,0.73,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,90.0,0.072,0.641194687861406,0.59124458729353
Perez (2008),Water,0.73,0.001,1000.0,Air,1.17,1.8e-05,1.224,0.038,90.0,0.072,0.612190597421548,0.532241519490408
Perez (2008),Water,0.73,0.001,1000.0,Air,1.47,1.8e-05,1.224,0.038,90.0,0.072,0.571081288760216,0.4863413524951
Perez (2008),Water,0.73,0.001,1000.0,Air,2.2,1.8e-05,1.224,0.038,90.0,0.072,0.533598267578412,0.411633763599241
Perez (2008),Water,0.73,0.001,1000.0,Air,2.93,1.8e-05,1.224,0.038,90.0,0.072,0.454974890753432,0.365299809402287
Andritsos (1986),Water,0.00174,0.001,1000.0,Air,2.45,1.8e-05,1.224,0.02515,0.0,0.072,0.0574734929023112,0.0517338970579505
Andritsos (1986),Water,0.00174,0.001,1000.0,Air,3.51,1.8e-05,1.224,0.02515,0.0,0.072,0.0438514877452525,0.0363895400631572
Andritsos (1986),Water,0.00182,0.001,1000.0,Air,4.94,1.8e-05,1.224,0.02515,0.0,0.072,0.0317516182783476,0.0265009602332144
Andritsos (1986),Water,0.00182,0.001,1000.0,Air,7.12,1.8e-05,1.224,0.02515,0.0,0.072,0.0231773058730113,0.0182609146758832
Andritsos (1986),Water,0.00174,0.001,1000.0,Air,10.25,1.8e-05,1.224,0.02515,0.0,0.072,0.0170520029862477,0.0122088709184759
Andritsos (1986),Water,0.00162,0.001,1000.0,Air,12.62,1.8e-05,1.224,0.02515,0.0,0.072,0.0103956965539151,0.0094266188526375
Andritsos (1986),Water,0.001539,0.001,1000.0,Air,17.69,1.8e-05,1.224,0.02515,0.0,0.072,0.00367800026177243,0.00641362549692123
Andritsos (1986),Water,0.001539,0.001,1000.0,Air,24.26,1.8e-05,1.224,0.02515,0.0,0.072,0.00169001755045198,0.0186721362408365
Andritsos (1986),Water,0.001417,0.001,1000.0,Air,35.2,1.8e-05,1.224,0.02515,0.0,0.072,0.000443506736144329,0.013475874058437
Andritsos (1986),Water,0.001417,0.001,1000.0,Air,51.9,1.8e-05,1.224,0.02515,0.0,0.072,4.63598027069298e-05,0.00983878363796519
Andritsos (1986),Water,0.001338,0.001,1000.0,Air,62.87,1.8e-05,1.224,0.02515,0.0,0.072,4.23569191325159e-05,0.0081735059909439
Andritsos (1986),Water,0.00182,0.001,1000.0,Air,84.31,1.8e-05,1.224,0.02515,0.0,0.072,2.80628209459406e-05,0.00737798441646964
Andritsos (1986),Water,0.00182,0.001,1000.0,Air,107.93,1.8e-05,1.224,0.02515,0.0,0.072,1.9205648832863e-05,0.0059859392269298
Andritsos (1986),Water,0.00182,0.001,1000.0,Air,143.83,1.8e-05,1.224,0.02515,0.0,0.072,5.01906528262295e-06,0.00468005863258458
Andritsos (1986),Water,0.002021,0.001,1000.0,Air,163.24,1.8e-05,1.224,0.02515,0.0,0.072,4.55155370538887e-06,0.00441226546472139
Andritsos (1986),Water,0.002923,0.001,1000.0,Air,1.25,1.8e-05,1.224,0.02515,0.0,0.072,0.149554859789054,0.124728825691264
Andritsos (1986),Water,0.002707,0.001,1000.0,Air,2.3,1.8e-05,1.224,0.02515,0.0,0.072,0.0895453226279546,0.0693875884617104
Andritsos (1986),Water,0.002923,0.001,1000.0,Air,3.52,1.8e-05,1.224,0.02515,0.0,0.072,0.0551267084663535,0.0481494917174159
Andritsos (1986),Water,0.002923,0.001,1000.0,Air,5.08,1.8e-05,1.224,0.02515,0.0,0.072,0.0362408759061628,0.0335573815850939
Andritsos (1986),Water,0.003383,0.001,1000.0,Air,6.69,1.8e-05,1.224,0.02515,0.0,0.072,0.0263315509722242,0.0276244795384331
Andritsos (1986),Water,0.003261,0.001,1000.0,Air,9.52,1.8e-05,1.224,0.02515,0.0,0.072,0.0181956806461578,0.0188998230135582
Andritsos (1986),Water,0.003261,0.001,1000.0,Air,12.37,1.8e-05,1.224,0.02515,0.0,0.072,0.0123338706275065,0.0144292615725894
Andritsos (1986),Water,0.00292,0.001,1000.0,Air,17.69,1.8e-05,1.224,0.02515,0.0,0.072,0.00449038148339267,0.00932441135847655
Andritsos (1986),Water,0.002917,0.001,1000.0,Air,25.81,1.8e-05,1.224,0.02515,0.0,0.072,0.00179489568138851,0.0232621337209903
Andritsos (1986),Water,0.003374,0.001,1000.0,Air,32.45,1.8e-05,1.224,0.02515,0.0,0.072,0.000931228946524432,0.0208473984749577
Andritsos (1986),Water,0.0032,0.001,1000.0,Air,44.58,1.8e-05,1.224,0.02515,0.0,0.072,0.000156324892907852,0.01599171169027
Andritsos (1986),Water,0.002972,0.001,1000.0,Air,61.31,1.8e-05,1.224,0.02515,0.0,0.072,5.6100980267355e-05,0.012019825019093
Andritsos (1986),Water,0.003341,0.001,1000.0,Air,81.43,1.8e-05,1.224,0.02515,0.0,0.072,4.54429760878005e-05,0.010059979815447
Andritsos (1986),Water,0.003475,0.001,1000.0,Air,105.89,1.8e-05,1.224,0.02515,0.0,0.072,3.45132753084875e-05,0.00824198938226306
Andritsos (1986),Water,0.003203,0.001,1000.0,Air,138.25,1.8e-05,1.224,0.02515,0.0,0.072,5.50156808937049e-06,0.00633760719711362
Andritsos (1986),Water,0.003033,0.001,1000.0,Air,157.74,1.8e-05,1.224,0.02515,0.0,0.072,4.72956111590766e-06,0.00551914116826568
Andritsos (1986),Water,0.006005,0.001,1000.0,Air,1.25,1.8e-05,1.224,0.02515,0.0,0.072,0.214452422085666,0.173531511838404
Andritsos (1986),Water,0.006218,0.001,1000.0,Air,2.45,1.8e-05,1.224,0.02515,0.0,0.072,0.119476904575427,0.0999297061155343
Andritsos (1986),Water,0.006096,0.001,1000.0,Air,3.54,1.8e-05,1.224,0.02515,0.0,0.072,0.0755383952607429,0.0706832201696317
Andritsos (1986),Water,0.00621,0.001,1000.0,Air,5.24,1.8e-05,1.224,0.02515,0.0,0.072,0.0630616591765754,0.0491297540460694
Andritsos (1986),Water,0.006005,0.001,1000.0,Air,6.84,1.8e-05,1.224,0.02515,0.0,0.072,0.0424086880041958,0.0371544933641204
Andritsos (1986),Water,0.005903,0.001,1000.0,Air,10.11,1.8e-05,1.224,0.02515,0.0,0.072,0.0251643392772221,0.0248778043724081
Andritsos (1986),Water,0.006431,0.001,1000.0,Air,13.24,1.8e-05,1.224,0.02515,0.0,0.072,0.0126263650589341,0.0198408637234997
Andritsos (1986),Water,0.006218,0.001,1000.0,Air,17.53,1.8e-05,1.224,0.02515,0.0,0.072,0.00588059250016549,0.0145782641599577
Andritsos (1986),Water,0.006005,0.001,1000.0,Air,24.86,1.8e-05,1.224,0.02515,0.0,0.072,0.00230726491355927,0.0317576688466466
Andritsos (1986),Water,0.006672,0.001,1000.0,Air,32.93,1.8e-05,1.224,0.02515,0.0,0.072,0.00127127589546093,0.0271885403788622
Andritsos (1986),Water,0.006672,0.001,1000.0,Air,52.97,1.8e-05,1.224,0.02515,0.0,0.072,0.000144976806652705,0.019176124940168
Andritsos (1986),Water,0.006443,0.001,1000.0,Air,61.47,1.8e-05,1.224,0.02515,0.0,0.072,0.000129575518411154,0.0168586638881836
Andritsos (1986),Water,0.006431,0.001,1000.0,Air,80.16,1.8e-05,1.224,0.02515,0.0,0.072,9.36940151251734e-05,0.0136792023611604
Andritsos (1986),Water,0.006218,0.001,1000.0,Air,103.42,1.8e-05,1.224,0.02515,0.0,0.072,3.71156502116929e-05,0.010977055181449
Andritsos (1986),Water,0.006096,0.001,1000.0,Air,143.59,1.8e-05,1.224,0.02515,0.0,0.072,5.65297537179034e-06,0.0082997671297913
Andritsos (1986),Water,0.006096,0.001,1000.0,Air,151.89,1.8e-05,1.224,0.02515,0.0,0.072,5.16595281320979e-06,0.00791920374334065
Andritsos (1986),Water,0.01326,0.001,1000.0,Air,1.17,1.8e-05,1.224,0.02515,0.0,0.072,0.299813925524821,0.253141696774751
Andritsos (1986),Water,0.01326,0.001,1000.0,Air,2.37,1.8e-05,1.224,0.02515,0.0,0.072,0.169479266078854,0.147631578157886
Andritsos (1986),Water,0.01326,0.001,1000.0,Air,3.51,1.8e-05,1.224,0.02515,0.0,0.072,0.122402285125699,0.105504482616501
Andritsos (1986),Water,0.01326,0.001,1000.0,Air,5.17,1.8e-05,1.224,0.02515,0.0,0.072,0.108918847642507,0.074260105621448
Andritsos (1986),Water,0.01356,0.001,1000.0,Air,6.9,1.8e-05,1.224,0.02515,0.0,0.072,0.0721468064071937,0.0572362586065911
Andritsos (1986),Water,0.01326,0.001,1000.0,Air,10.06,1.8e-05,1.224,0.02515,0.0,0.072,0.035287639866012,0.0392029085379542
Andritsos (1986),Water,0.01356,0.001,1000.0,Air,13.17,1.8e-05,1.224,0.02515,0.0,0.072,0.0148374117061795,0.0308001298412408
Andritsos (1986),Water,0.0143,0.001,1000.0,Air,17.03,1.8e-05,1.224,0.02515,0.0,0.072,0.00759457782806821,0.0546702968281213
Andritsos (1986),Water,0.01274,0.001,1000.0,Air,23.64,1.8e-05,1.224,0.02515,0.0,0.072,0.00364532046623103,0.0431279941786291
Andritsos (1986),Water,0.01274,0.001,1000.0,Air,32.8,1.8e-05,1.224,0.02515,0.0,0.072,0.00208637133766003,0.0348765142655981
Andritsos (1986),Water,0.01353,0.001,1000.0,Air,48.43,1.8e-05,1.224,0.02515,0.0,0.072,0.000581438161236739,0.027291723488337
Andritsos (1986),Water,0.01353,0.001,1000.0,Air,60.91,1.8e-05,1.224,0.02515,0.0,0.072,0.000392526592277345,0.023139580690912
Andritsos (1986),Water,0.01615,0.001,1000.0,Air,79.44,1.8e-05,1.224,0.02515,0.0,0.072,0.000358697476052724,0.0204366319782496
Andritsos (1986),Water,0.01554,0.001,1000.0,Air,100.37,1.8e-05,1.224,0.02515,0.0,0.072,0.00020446333299491,0.0168345597510202
Andritsos (1986),Water,0.01344,0.001,1000.0,Air,122.17,1.8e-05,1.224,0.02515,0.0,0.072,3.91264839095465e-05,0.0135509903326098
Andritsos (1986),Water,0.01209,0.001,1000.0,Air,148.45,1.8e-05,1.224,0.02515,0.0,0.072,3.06296372853555e-05,0.0110519132276578
Andritsos (1986),Water,0.02286,0.001,1000.0,Air,1.17,1.8e-05,1.224,0.02515,0.0,0.072,0.336363112647284,0.309532964596051
Andritsos (1986),Water,0.02332,0.001,1000.0,Air,2.46,1.8e-05,1.224,0.02515,0.0,0.072,0.259337215243938,0.184316595266875
Andritsos (1986),Water,0.02286,0.001,1000.0,Air,3.5,1.8e-05,1.224,0.02515,0.0,0.072,0.212202028488321,0.137278721716645
Andritsos (1986),Water,0.02301,0.001,1000.0,Air,5.14,1.8e-05,1.224,0.02515,0.0,0.072,0.180211618782486,0.11328295974327
Andritsos (1986),Water,0.02286,0.001,1000.0,Air,6.9,1.8e-05,1.224,0.02515,0.0,0.072,0.102343097916853,0.0896578671771102
Andritsos (1986),Water,0.02301,0.001,1000.0,Air,9.78,1.8e-05,1.224,0.02515,0.0,0.072,0.0475223387927215,0.0680903549829078
Andritsos (1986),Water,0.02286,0.001,1000.0,Air,13.37,1.8e-05,1.224,0.02515,0.0,0.072,0.0229992456125453,0.0522873797491666
Andritsos (1986),Water,0.0224,0.001,1000.0,Air,17.74,1.8e-05,1.224,0.02515,0.0,0.072,0.0144269209875557,0.0613559883257405
Andritsos (1986),Water,0.02192,0.001,1000.0,Air,24.58,1.8e-05,1.224,0.02515,0.0,0.072,0.00470164670721512,0.0504675904589677
Andritsos (1986),Water,0.02368,0.001,1000.0,Air,32.64,1.8e-05,1.224,0.02515,0.0,0.072,0.00335556119697765,0.0435314832761447
Andritsos (1986),Water,0.02368,0.001,1000.0,Air,49.8,1.8e-05,1.224,0.02515,0.0,0.072,0.00100919280909108,0.0330883067394169
Andritsos (1986),Water,0.02673,0.001,1000.0,Air,57.8,1.8e-05,1.224,0.02515,0.0,0.072,0.00094373016723142,0.0312741707339119
Andritsos (1986),Water,0.02597,0.001,1000.0,Air,78.85,1.8e-05,1.224,0.02515,0.0,0.072,0.000398785443832954,0.0248841829911283
Andritsos (1986),Water,0.02518,0.001,1000.0,Air,98.88,1.8e-05,1.224,0.02515,0.0,0.072,0.000215873698961028,0.0208300301490153
Andritsos (1986),Water,0.02368,0.001,1000.0,Air,126.0,1.8e-05,1.224,0.02515,0.0,0.072,7.95416208386857e-05,0.0169022854893959
Andritsos (1986),Water,0.02234,0.001,1000.0,Air,149.48,1.8e-05,1.224,0.02515,0.0,0.072,4.73598910609347e-05,0.0144320422094366
Andritsos (1986),Water,0.03566,0.001,1000.0,Air,1.17,1.8e-05,1.224,0.02515,0.0,0.072,0.409904722185647,0.387293650910722
Andritsos (1986),Water,0.0352,0.001,1000.0,Air,2.46,1.8e-05,1.224,0.02515,0.0,0.072,0.307066929282415,0.254196446568587
Andritsos (1986),Water,0.03086,0.001,1000.0,Air,3.46,1.8e-05,1.224,0.02515,0.0,0.072,0.275868229837136,0.186801197256234
Andritsos (1986),Water,0.03886,0.001,1000.0,Air,5.05,1.8e-05,1.224,0.02515,0.0,0.072,0.216708180454688,0.168616542245209
Andritsos (1986),Water,0.03006,0.001,1000.0,Air,6.81,1.8e-05,1.224,0.02515,0.0,0.072,0.139331354344831,0.112072013612614
Andritsos (1986),Water,0.0392,0.001,1000.0,Air,9.37,1.8e-05,1.224,0.02515,0.0,0.072,0.062253909173809,0.107555007320294
Andritsos (1986),Water,0.03806,0.001,1000.0,Air,13.65,1.8e-05,1.224,0.02515,0.0,0.072,0.0297381789691796,0.0817956473532831
Andritsos (1986),Water,0.04042,0.001,1000.0,Air,17.71,1.8e-05,1.224,0.02515,0.0,0.072,0.0206672848975902,0.072677239643726
Andritsos (1986),Water,0.04042,0.001,1000.0,Air,23.6,1.8e-05,1.224,0.02515,0.0,0.072,0.00738802203405071,0.0622487018853258
Andritsos (1986),Water,0.0367,0.001,1000.0,Air,30.96,1.8e-05,1.224,0.02515,0.0,0.072,0.00542841142823003,0.051795953545726
Andritsos (1986),Water,0.03591,0.001,1000.0,Air,44.1,1.8e-05,1.224,0.02515,0.0,0.072,0.00189920723408568,0.0414557480577482
Andritsos (1986),Water,0.0381,0.001,1000.0,Air,59.41,1.8e-05,1.224,0.02515,0.0,0.072,0.00098367996786187,0.0349035776122761
Andritsos (1986),Water,0.03627,0.001,1000.0,Air,78.33,1.8e-05,1.224,0.02515,0.0,0.072,0.000355672642160816,0.0284224565424017
Andritsos (1986),Water,0.03746,0.001,1000.0,Air,98.05,1.8e-05,1.224,0.02515,0.0,0.072,0.000271767272365124,0.0245537099581688
Andritsos (1986),Water,0.03731,0.001,1000.0,Air,119.41,1.8e-05,1.224,0.02515,0.0,0.072,8.88911287826163e-05,0.0212387540679444
Andritsos (1986),Water,0.03219,0.001,1000.0,Air,139.45,1.8e-05,1.224,0.02515,0.0,0.072,5.6100980267355e-05,0.017796425564774
Andritsos (1986),Water,0.0367,0.001,1000.0,Air,146.25,1.8e-05,1.224,0.02515,0.0,0.072,4.89123046910032e-05,0.0181262249030519
Andritsos (1986),Water,0.062971,0.001,1000.0,Air,1.16,1.8e-05,1.224,0.02515,0.0,0.072,0.384778068744903,0.500432909379529
Andritsos (1986),Water,0.06111,0.001,1000.0,Air,2.42,1.8e-05,1.224,0.02515,0.0,0.072,0.264039694817033,0.35187447712805
Andritsos (1986),Water,0.0605,0.001,1000.0,Air,3.47,1.8e-05,1.224,0.02515,0.0,0.072,0.23494042978983,0.286318618061489
Andritsos (1986),Water,0.06151,0.001,1000.0,Air,5.19,1.8e-05,1.224,0.02515,0.0,0.072,0.199923419017451,0.225681075763034
Andritsos (1986),Water,0.06151,0.001,1000.0,Air,6.84,1.8e-05,1.224,0.02515,0.0,0.072,0.141360854886719,0.187854107605147
Andritsos (1986),Water,0.06001,0.001,1000.0,Air,9.65,1.8e-05,1.224,0.02515,0.0,0.072,0.0868670899301985,0.107998284336916
Andritsos (1986),Water,0.06081,0.001,1000.0,Air,13.16,1.8e-05,1.224,0.02515,0.0,0.072,0.0535786661650257,0.0935876284559543
Andritsos (1986),Water,0.06157,0.001,1000.0,Air,17.06,1.8e-05,1.224,0.02515,0.0,0.072,0.0307722218286855,0.0826233184187241
Andritsos (1986),Water,0.06157,0.001,1000.0,Air,23.93,1.8e-05,1.224,0.02515,0.0,0.072,0.0114223920632957,0.0693869690396636
Andritsos (1986),Water,0.06081,0.001,1000.0,Air,30.87,1.8e-05,1.224,0.02515,0.0,0.072,0.0098942221304865,0.0602158633698219
Andritsos (1986),Water,0.06151,0.001,1000.0,Air,44.31,1.8e-05,1.224,0.02515,0.0,0.072,0.00335873717829991,0.0490862465882812
Andritsos (1986),Water,0.06218,0.001,1000.0,Air,58.64,1.8e-05,1.224,0.02515,0.0,0.072,0.00145037385709162,0.0415300375832758
Andritsos (1986),Water,0.06218,0.001,1000.0,Air,76.99,1.8e-05,1.224,0.02515,0.0,0.072,0.000733155749502264,0.0348951161259907
Andritsos (1986),Water,0.06157,0.001,1000.0,Air,90.42,1.8e-05,1.224,0.02515,0.0,0.072,0.000357183994809309,0.0312526371585046
Andritsos (1986),Water,0.06157,0.001,1000.0,Air,124.77,1.8e-05,1.224,0.02515,0.0,0.072,0.000114761070465418,0.0250131924338967
Andritsos (1986),Water,0.05861,0.001,1000.0,Air,137.71,1.8e-05,1.224,0.02515,0.0,0.072,5.00875106965182e-05,0.022871608107127
Andritsos (1986),Water,0.1396,0.001,1000.0,Air,1.16,1.8e-05,1.224,0.02515,0.0,0.072,0.269941284761418,0.355529609467131
Andritsos (1986),Water,0.1396,0.001,1000.0,Air,2.42,1.8e-05,1.224,0.02515,0.0,0.072,0.225783695472561,0.262927250268648
Andritsos (1986),Water,0.1301,0.001,1000.0,Air,3.54,1.8e-05,1.224,0.02515,0.0,0.072,0.262862489585684,0.196356984790501
Andritsos (1986),Water,0.1396,0.001,1000.0,Air,4.94,1.8e-05,1.224,0.02515,0.0,0.072,0.144419479697059,0.173427294480945
Andritsos (1986),Water,0.1396,0.001,1000.0,Air,6.77,1.8e-05,1.224,0.02515,0.0,0.072,0.170545136055256,0.151541905619555
Andritsos (1986),Water,0.1396,0.001,1000.0,Air,10.15,1.8e-05,1.224,0.02515,0.0,0.072,0.11753740723087,0.126761857996657
Andritsos (1986),Water,0.1396,0.001,1000.0,Air,13.17,1.8e-05,1.224,0.02515,0.0,0.072,0.0772511690084951,0.112603773469316
Andritsos (1986),Water,0.1387,0.001,1000.0,Air,16.96,1.8e-05,1.224,0.02515,0.0,0.072,0.0509778363465916,0.0999160183894556
