Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Liquid Volumetric Fraction [-],Model Holdup Prediction [-]
Ottens et al. (2001),Water,0.1328,0.00098,998.0,Air,6.982,1.79e-05,1.185,0.052,0.0,0.0735,0.0577,0.303186313535395
Ottens et al. (2001),Water,0.0141,0.00098,998.0,Air,7.534,1.79e-05,1.196,0.052,1.0,0.0735,0.0465,0.0785935287259547
Ottens et al. (2001),Water,0.0151,0.00098,998.0,Air,9.501,1.79e-05,1.2,0.052,1.0,0.0735,0.0104,0.0681245196275891
Ottens et al. (2001),Water,0.0201,0.00098,998.0,Air,7.544,1.79e-05,1.196,0.052,1.0,0.0735,0.0705,0.0855912993083104
Ottens et al. (2001),Water,0.0313,0.00098,998.0,Air,7.471,1.79e-05,1.196,0.052,1.0,0.0735,0.0835,0.0949881171076966
Ottens et al. (2001),Water,0.0316,0.00098,998.0,Air,9.516,1.79e-05,1.2,0.052,1.0,0.0735,0.0189,0.0821308439200394
Ottens et al. (2001),Water,0.0422,0.00098,998.0,Air,9.527,1.79e-05,1.2,0.052,1.0,0.0735,0.0241,0.0876167042655969
Ottens et al. (2001),Water,0.0472,0.00098,998.0,Air,9.501,1.79e-05,1.199,0.052,1.0,0.0735,0.0276,0.0899186438311314
Ottens et al. (2001),Water,0.0496,0.00098,998.0,Air,7.507,1.79e-05,1.195,0.052,1.0,0.0735,0.0926,0.103894395855584
Ottens et al. (2001),Water,0.0594,0.00098,998.0,Air,9.464,1.79e-05,1.2,0.052,1.0,0.0735,0.0313,0.0945244851987859
Ottens et al. (2001),Water,0.0684,0.00098,998.0,Air,9.433,1.79e-05,1.2,0.052,1.0,0.0735,0.0345,0.0974300601265156
Ottens et al. (2001),Water,0.0904,0.00098,998.0,Air,9.443,1.79e-05,1.2,0.052,1.0,0.0735,0.0394,0.120687960209424
Ottens et al. (2001),Water,0.1198,0.00098,998.0,Air,9.433,1.79e-05,1.2,0.052,1.0,0.0735,0.0457,0.138519889763551
Ottens et al. (2001),Water,0.1456,0.00098,998.0,Air,9.48,1.79e-05,1.199,0.052,1.0,0.0735,0.0511,0.151381898502488
Ottens et al. (2001),Water,0.0497,0.00098,998.0,Air,9.527,1.79e-05,1.198,0.052,1.0,0.0735,0.0273,0.0907874314698043
Ottens et al. (2001),Water,0.0577,0.00098,998.0,Air,9.521,1.79e-05,1.198,0.052,1.0,0.0735,0.0308,0.0936886320960879
Ottens et al. (2001),Water,0.0687,0.00098,998.0,Air,9.542,1.79e-05,1.197,0.052,1.0,0.0735,0.0345,0.0969645663655159
Ottens et al. (2001),Water,0.0879,0.00098,998.0,Air,9.501,1.79e-05,1.201,0.052,1.0,0.0735,0.0395,0.118605193471871
Ottens et al. (2001),Water,0.117,0.00098,998.0,Air,9.469,1.79e-05,1.202,0.052,1.0,0.0735,0.0458,0.13667074626328
Ottens et al. (2001),Water,0.1477,0.00098,998.0,Air,9.49,1.79e-05,1.202,0.052,1.0,0.0735,0.0511,0.152235702376352
Ottens et al. (2001),Water,0.0581,0.00098,998.0,Air,10.45,1.79e-05,1.195,0.052,1.0,0.0735,0.0236,0.0892025732187427
Ottens et al. (2001),Water,0.0869,0.00098,998.0,Air,10.47,1.79e-05,1.196,0.052,1.0,0.0735,0.029,0.112243079243888
Ottens et al. (2001),Water,0.1188,0.00098,998.0,Air,10.5,1.79e-05,1.202,0.052,1.0,0.0735,0.0342,0.130855580094683
Ottens et al. (2001),Water,0.0488,0.00098,998.0,Air,10.49,1.79e-05,1.203,0.052,1.0,0.0735,0.0209,0.0856082268426943
Ottens et al. (2001),Water,0.0681,0.00098,998.0,Air,10.55,1.79e-05,1.201,0.052,1.0,0.0735,0.0248,0.0916351025831989
Ottens et al. (2001),Water,0.1423,0.00098,998.0,Air,10.51,1.79e-05,1.204,0.052,1.0,0.0735,0.0388,0.142496707560847
Ottens et al. (2001),Water,0.0485,0.00098,998.0,Air,14.5,1.79e-05,1.207,0.052,1.0,0.0735,0.0115,0.0712590215033499
Ottens et al. (2001),Water,0.0581,0.00098,998.0,Air,14.48,1.79e-05,1.206,0.052,1.0,0.0735,0.0135,0.0744419320082322
