Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Model Prediction [-],Flow Pattern [-],Flow Pattern Shoham [-],Unified Flow Pattern [-]
Barnea et al. (1982),Water,0.00386498545398165,0.001139,999.0,Air,0.041168432134058,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00604693202388647,0.001139,999.0,Air,0.0416839082660676,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00957276683627678,0.001139,999.0,Air,0.0422089587756175,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.037531626773176,0.001139,999.0,Air,0.0425724510819578,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0148016295994528,0.001139,999.0,Air,0.0427343044086137,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0951690966361475,0.001139,999.0,Air,0.0428217920903123,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0242743014070414,0.001139,999.0,Air,0.0428671874426935,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0594155037077561,0.001139,999.0,Air,0.0431086936768385,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0987037645197147,0.001139,999.0,Air,0.0667164390471774,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0594843526298229,0.001139,999.0,Air,0.0677986020100619,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00993907810415905,0.001139,999.0,Air,0.100479168390377,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00369557813141389,0.001139,999.0,Air,0.10082390132716,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00620511650128494,0.001139,999.0,Air,0.101152368446162,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0602514303456971,0.001139,999.0,Air,0.10162203345733,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0953827316022688,0.001139,999.0,Air,0.10290206459327,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.058916911747325,0.001139,999.0,Air,0.159801021086628,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0932677859901916,0.001139,999.0,Air,0.160262380709736,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0589880898261157,0.001139,999.0,Air,0.25621453377441,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0967389882474627,0.001139,999.0,Air,0.25701123715111,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00996310759920892,0.001139,999.0,Air,0.258300028985233,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00379281315780025,0.001139,999.0,Air,0.259224549444457,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00614728694005441,0.001139,999.0,Air,0.26001139143976,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00384229121620149,0.001139,999.0,Air,0.411669105513565,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0099751441238105,0.001139,999.0,Air,0.414141418185882,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00615471353559703,0.001139,999.0,Air,0.416885305117417,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0604700652379983,0.001139,999.0,Air,0.41885192452471,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00384683833573376,0.001139,999.0,Air,0.653714803324918,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00998694910425845,0.001139,999.0,Air,0.657640741343331,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0605401361546637,0.001139,999.0,Air,0.658743573741293,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00601883670138369,0.001139,999.0,Air,0.674777757628263,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00616837760306487,0.001139,999.0,Air,0.992182743050289,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00999802896115034,0.001139,999.0,Air,1.01455653211543,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0620519295007581,0.001139,999.0,Air,1.0164081526011,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0152781676027706,0.001139,999.0,Air,1.02710808564437,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00394309494791715,0.001139,999.0,Air,1.02827293062344,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0239027457260077,0.001139,999.0,Air,1.02999729566129,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0378389855617725,0.001139,999.0,Air,1.03297098857575,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00385566369890579,0.001139,999.0,Air,1.60145929561715,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00954967878357679,0.001139,999.0,Air,1.64193596611644,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00610411832182573,0.001139,999.0,Air,1.6531811599365,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0387877141681076,0.001139,999.0,Air,1.65644317944461,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0152973791506123,0.001139,999.0,Air,1.67883762868024,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.025385172085766,0.001139,999.0,Air,1.70048700160938,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00596862307974317,0.001139,999.0,Air,2.55002114271337,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00386041688381677,0.001139,999.0,Air,2.5925329433912,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00967592517235892,0.001139,999.0,Air,2.7894432903314,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.0154992280066202,0.001139,999.0,Air,2.82478792219986,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00377453984760057,0.001139,999.0,Air,3.92264749557697,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,0.00597553934300139,0.001139,999.0,Air,4.01051049860405,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Smooth Stratified,Smooth Stratified,Stratified
Barnea et al. (1982),Water,1.56990975839377,0.001139,999.0,Air,0.0423402082386677,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.38652711690675,0.001139,999.0,Air,0.0423756946303047,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.62647248859362,0.001139,999.0,Air,0.0425043204729832,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.165538231771076,0.001139,999.0,Air,0.0425588162291796,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.991730561939125,0.001139,999.0,Air,0.0426270341899579,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.249993846376385,0.001139,999.0,Air,0.0426690688124709,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.165734136267812,0.001139,999.0,Air,0.0675817733426752,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.96978845828934,0.001139,999.0,Air,0.0676800941237803,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.256261887391328,0.001139,999.0,Air,0.0684229167995524,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,1.59046794442455,0.001139,999.0,Air,0.0685477923194717,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.165905742875264,0.001139,999.0,Air,0.101289545371112,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.993932301017618,0.001139,999.0,Air,0.101451903416885,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.253529792068797,0.001139,999.0,Air,0.1035353571987,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,1.59215399839996,0.001139,999.0,Air,0.103731982533002,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.250833005098632,0.001139,999.0,Air,0.158183054009447,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,1.55677404109587,0.001139,999.0,Air,0.158471746629344,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.166097989525529,0.001139,999.0,Air,0.159301732172084,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.995182122229748,0.001139,999.0,Air,0.165826046292534,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.251142226998704,0.001139,999.0,Air,0.256075680304871,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.164355508318236,0.001139,999.0,Air,0.257867597229214,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,1.55880842572039,0.001139,999.0,Air,0.264066145609882,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.996408962798962,0.001139,999.0,Air,0.268448588772926,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.251433243156698,0.001139,999.0,Air,0.402739485997782,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.166507766495575,0.001139,999.0,Air,0.417481520193524,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.101535681856147,0.001139,999.0,Air,0.42428457261269,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.985907365589625,0.001139,999.0,Air,0.426254586974147,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,1.59793146154017,0.001139,999.0,Air,0.427548426660398,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.16282377125417,0.001139,999.0,Air,0.662846691508578,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.254738349756831,0.001139,999.0,Air,0.664711250192862,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,1.59978309708642,0.001139,999.0,Air,0.672420877247568,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.398548844024676,0.001139,999.0,Air,0.673034199753752,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,2.27780348165666,0.001139,999.0,Air,0.673913717520369,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.630918478051754,0.001139,999.0,Air,0.674977308769113,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.99876873792286,0.001139,999.0,Air,0.67692602771135,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Elongated Bubble,Elongated Bubbles,Intermittent
Barnea et al. (1982),Water,0.0992843053102719,0.001139,999.0,Air,0.660791947898091,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.0970780649049008,0.001139,999.0,Air,1.00949438721756,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.252028707403482,0.001139,999.0,Air,1.01555698878937,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.164935649456915,0.001139,999.0,Air,1.02266345728993,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.403708206778954,0.001139,999.0,Air,1.02842496428635,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,2.47630427609595,0.001139,999.0,Air,1.0401993133998,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.965163698928678,0.001139,999.0,Air,1.04407679461373,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,1.5828442657284,0.001139,999.0,Air,1.04732336886364,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.6391174474509,0.001139,999.0,Air,1.05146055589944,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.255310184739443,0.001139,999.0,Air,1.59732128582946,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.404185971052687,0.001139,999.0,Air,1.63309953129514,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.100693557662547,0.001139,999.0,Air,1.63458909940831,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Slug,Slug,Intermittent
Barnea et al. (1982),Water,2.47923483260718,0.001139,999.0,Air,1.65179674760768,1.7965e-05,1.2257,0.0255,0.0,0.0735,Dispersed,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.163205361989786,0.001139,999.0,Air,1.65542310751903,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.977778558267832,0.001139,999.0,Air,1.67412837894338,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,1.56620055740063,0.001139,999.0,Air,1.67908585055453,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.63990533862731,0.001139,999.0,Air,1.70216385599438,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.252631806751788,0.001139,999.0,Air,2.58564295794959,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.395253069044781,0.001139,999.0,Air,2.61801818240268,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,2.482168857255,0.001139,999.0,Air,2.62299009455184,1.7965e-05,1.2257,0.0255,0.0,0.0735,Dispersed,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.16339850567607,0.001139,999.0,Air,2.62874861547188,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.618390022214465,0.001139,999.0,Air,2.65079878191158,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,1.5496936731624,0.001139,999.0,Air,2.66612705618529,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.990558296037787,0.001139,999.0,Air,2.68438666929713,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,2.48492265878465,0.001139,999.0,Air,4.04654329758496,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.633816687607546,0.001139,999.0,Air,4.0508330353552,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,1.55137472840557,0.001139,999.0,Air,4.0736547199555,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.991632820149267,0.001139,999.0,Air,4.10155412518641,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.400399363692728,0.001139,999.0,Air,4.11775628113734,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.161676376153673,0.001139,999.0,Air,4.17404375440634,1.7965e-05,1.2257,0.0255,0.0,0.0735,Annular,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.25295571173827,0.001139,999.0,Air,4.26722230796226,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,1.53509974929572,0.001139,999.0,Air,6.59417534419285,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.634613681064709,0.001139,999.0,Air,6.62120279482441,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,1.0046183894674,0.001139,999.0,Air,6.64031879048684,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.40089296800122,0.001139,999.0,Air,6.66605691504049,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,2.51758713137889,0.001139,999.0,Air,6.67871650983845,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.167693581300057,0.001139,999.0,Air,6.69387378679859,1.7965e-05,1.2257,0.0255,0.0,0.0735,Annular,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.250283531825001,0.001139,999.0,Air,6.71071880823649,1.7965e-05,1.2257,0.0255,0.0,0.0735,Annular,Slug,Slug,Intermittent
Barnea et al. (1982),Water,2.52019392438067,0.001139,999.0,Air,10.0098610244207,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.401317954361229,0.001139,999.0,Air,10.0876086023642,1.7965e-05,1.2257,0.0255,0.0,0.0735,Annular,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.635333397490241,0.001139,999.0,Air,10.3135599747894,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,1.00575772884483,0.001139,999.0,Air,10.3433361308522,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,1.55516377307783,0.001139,999.0,Air,10.5734521985292,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.643558024199625,0.001139,999.0,Air,15.759559547819,1.7965e-05,1.2257,0.0255,0.0,0.0735,Annular,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.983408342076631,0.001139,999.0,Air,15.8015541842079,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,1.55685076210024,0.001139,999.0,Air,16.1554916727753,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,1.61471341971564,0.001139,999.0,Air,25.4139614514229,1.7965e-05,1.2257,0.0255,0.0,0.0735,Intermittent,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.691585537641262,0.001139,999.0,Air,26.272268799175,1.7965e-05,1.2257,0.0255,0.0,0.0735,Annular,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.973163652582424,0.001139,999.0,Air,26.3286494932762,1.7965e-05,1.2257,0.0255,0.0,0.0735,Annular,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.985640176978414,0.001139,999.0,Air,38.3392155056914,1.7965e-05,1.2257,0.0255,0.0,0.0735,Annular,Slug,Slug,Intermittent
Barnea et al. (1982),Water,1.57898777952681,0.001139,999.0,Air,40.3504333758137,1.7965e-05,1.2257,0.0255,0.0,0.0735,Annular,Slug,Slug,Intermittent
Barnea et al. (1982),Water,0.10081023836828,0.001139,999.0,Air,2.57077740818467,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Wavy Annular,Annular,Annular
Barnea et al. (1982),Water,0.0962918911323015,0.001139,999.0,Air,4.20076712932467,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Wavy Annular,Annular,Annular
Barnea et al. (1982),Water,0.0608317242510149,0.001139,999.0,Air,4.31150674443547,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Wavy Annular,Annular,Annular
Barnea et al. (1982),Water,0.0998830265006043,0.001139,999.0,Air,6.93428411682059,1.7965e-05,1.2257,0.0255,0.0,0.0735,Annular,Wavy Annular,Annular,Annular
Barnea et al. (1982),Water,0.0638448502739464,0.001139,999.0,Air,6.98177523127704,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Wavy Annular,Annular,Annular
Barnea et al. (1982),Water,0.16206326429074,0.001139,999.0,Air,10.6272586953686,1.7965e-05,1.2257,0.0255,0.0,0.0735,Annular,Wavy Annular,Annular,Annular
Barnea et al. (1982),Water,0.103590221542663,0.001139,999.0,Air,10.7000420354449,1.7965e-05,1.2257,0.0255,0.0,0.0735,Annular,Wavy Annular,Annular,Annular
Barnea et al. (1982),Water,0.0624292021406589,0.001139,999.0,Air,10.8736002972082,1.7965e-05,1.2257,0.0255,0.0,0.0735,Annular,Wavy Annular,Annular,Annular
Barnea et al. (1982),Water,0.0599685341112593,0.001139,999.0,Air,1.61365940288211,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Stratified Wavy,Stratified Wavy,Stratified
Barnea et al. (1982),Water,0.0614766563095704,0.001139,999.0,Air,2.663500571767,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Stratified Wavy,Stratified Wavy,Stratified
Barnea et al. (1982),Water,0.0416813405732563,0.001139,999.0,Air,2.73492788138123,1.7965e-05,1.2257,0.0255,0.0,0.0735,Stratified,Stratified Wavy,Stratified Wavy,Stratified
